,last_review_year_date,neighbourhood,neighbourhood_group,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,2014-01-01,Ashfield,,84.0,1.0,3.0,0.06,1.0,0.0
1,2015-01-01,Ashfield,,60.666666666666664,2.3333333333333335,5.333333333333333,0.12,1.0,37.666666666666664
2,2016-01-01,Ashfield,,634.7058823529412,8.705882352941176,2.1176470588235294,0.06705882352941175,1.2941176470588236,43.0
3,2017-01-01,Ashfield,,126.76,6.16,3.6,0.1284,3.0,73.28
4,2018-01-01,Ashfield,,113.55900621118012,2.6024844720496896,17.17391304347826,1.3972670807453416,6.913043478260869,159.72670807453417
5,2014-01-01,Auburn,,109.0,1.0,1.0,0.02,1.0,365.0
6,2016-01-01,Auburn,,89.16666666666667,2.0,4.666666666666667,0.14833333333333332,1.0,0.0
7,2017-01-01,Auburn,,153.2608695652174,1.9565217391304348,7.6521739130434785,0.2821739130434783,4.434782608695652,61.34782608695652
8,2018-01-01,Auburn,,145.97398843930637,1.80635838150289,24.254335260115607,2.471965317919075,7.968208092485549,112.75433526011561
9,2015-01-01,Bankstown,,40.0,1.0,1.0,0.03,2.0,0.0
10,2016-01-01,Bankstown,,65.0,1.0,6.0,0.17,1.0,0.0
11,2017-01-01,Bankstown,,222.55555555555554,45.22222222222222,8.555555555555555,0.27444444444444444,13.666666666666666,153.66666666666666
12,2018-01-01,Bankstown,,84.36111111111111,2.0,11.981481481481481,1.1669444444444446,6.861111111111111,193.59259259259258
13,2015-01-01,Blacktown,,83.5,2.0,16.5,0.2,1.0,264.5
14,2016-01-01,Blacktown,,66.83333333333333,1.5,4.0,0.09000000000000001,3.8333333333333335,234.16666666666666
15,2017-01-01,Blacktown,,82.68181818181819,3.409090909090909,5.454545454545454,0.2218181818181818,2.6363636363636362,159.9090909090909
16,2018-01-01,Blacktown,,80.01639344262296,3.8934426229508197,14.459016393442623,1.5898360655737707,2.819672131147541,189.7377049180328
17,2015-01-01,Botany Bay,,114.71428571428571,10.285714285714286,1.2857142857142858,0.03428571428571429,26.0,58.857142857142854
18,2016-01-01,Botany Bay,,81.05882352941177,2.3529411764705883,2.764705882352941,0.08235294117647059,1.411764705882353,63.8235294117647
19,2017-01-01,Botany Bay,,138.31034482758622,3.4310344827586206,7.672413793103448,0.3193103448275862,2.3793103448275863,78.44827586206897
20,2018-01-01,Botany Bay,,104.52567975830816,2.2658610271903323,19.98489425981873,1.8418429003021148,4.078549848942598,112.13595166163142
21,2016-01-01,Burwood,,65.0,3.8,1.2,0.038,1.0,0.0
22,2017-01-01,Burwood,,79.23809523809524,2.142857142857143,4.857142857142857,0.19047619047619047,1.619047619047619,11.0
23,2018-01-01,Burwood,,101.15328467153284,2.6204379562043796,14.846715328467154,1.3675912408759126,6.846715328467154,101.66423357664233
24,2017-01-01,Camden,,60.0,1.0,1.0,0.08,1.0,0.0
25,2018-01-01,Camden,,93.89473684210526,1.7894736842105263,19.473684210526315,0.9747368421052631,1.4210526315789473,272.8421052631579
26,2015-01-01,Campbelltown,,84.0,2.0,3.0,0.06,1.0,0.0
27,2016-01-01,Campbelltown,,199.0,2.0,1.0,0.03,2.0,0.0
28,2017-01-01,Campbelltown,,170.22222222222223,3.2222222222222223,3.4444444444444446,0.16777777777777778,12.11111111111111,321.44444444444446
29,2018-01-01,Campbelltown,,144.8095238095238,2.142857142857143,13.34920634920635,1.160952380952381,14.126984126984127,250.31746031746033
30,2014-01-01,Canada Bay,,96.0,1.0,1.0,0.02,1.0,0.0
31,2015-01-01,Canada Bay,,128.0,20.2,1.8,0.044000000000000004,1.0,72.8
32,2016-01-01,Canada Bay,,159.66666666666666,3.5714285714285716,2.142857142857143,0.06476190476190477,1.6666666666666667,58.57142857142857
33,2017-01-01,Canada Bay,,137.05128205128204,4.82051282051282,4.282051282051282,0.1823076923076923,5.717948717948718,83.53846153846153
34,2018-01-01,Canada Bay,,145.73275862068965,2.7974137931034484,15.642241379310345,1.4495689655172415,11.961206896551724,103.36206896551724
35,2015-01-01,Canterbury,,140.5,2.3333333333333335,1.3333333333333333,0.03166666666666667,1.0,123.16666666666667
36,2016-01-01,Canterbury,,111.0,5.1,1.8,0.054000000000000006,1.3,36.5
37,2017-01-01,Canterbury,,117.61904761904762,2.4761904761904763,3.4761904761904763,0.19380952380952382,1.6666666666666667,114.14285714285714
38,2018-01-01,Canterbury,,112.02234636871508,2.82122905027933,18.675977653631286,1.5239106145251395,2.541899441340782,130.6145251396648
39,2015-01-01,City Of Kogarah,,80.0,1.0,1.0,0.03,1.0,0.0
40,2016-01-01,City Of Kogarah,,83.28571428571429,1.5714285714285714,1.7142857142857142,0.054285714285714284,2.0,150.71428571428572
41,2017-01-01,City Of Kogarah,,111.07692307692308,2.5384615384615383,4.6923076923076925,0.2076923076923077,1.6923076923076923,97.61538461538461
42,2018-01-01,City Of Kogarah,,104.31632653061224,1.8979591836734695,28.244897959183675,1.4968367346938776,2.520408163265306,156.39795918367346
43,2017-01-01,Fairfield,,100.0,2.0,1.0,0.05,1.0,0.0
44,2018-01-01,Fairfield,,87.56363636363636,1.6545454545454545,14.218181818181819,1.5332727272727273,7.745454545454545,172.0
45,2014-01-01,Holroyd,,109.0,1.0,2.0,0.03,1.0,0.0
46,2015-01-01,Holroyd,,150.0,1.0,1.0,0.03,1.0,0.0
47,2016-01-01,Holroyd,,86.66666666666667,5.666666666666667,2.3333333333333335,0.06666666666666667,2.0,195.0
